class,filename,filepath,sha256,width,height,is_near_duplicate
tomato_Early blight,0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B 8389.JPG,C:\Greenscan project\dataset\tomato_Early blight\0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B 8389.JPG,29b79036b67724f6a76895d17ef1b863ad7a7134e03141b1feb601a591336123,256,256,False
tomato_Early blight,0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B 8389_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B 8389_final_masked.jpg,5b94082eea0df81f37d898d9908d9d3183e98c93767257e472afbeea675e33d0,256,256,False
tomato_Early blight,0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432.JPG,C:\Greenscan project\dataset\tomato_Early blight\0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432.JPG,ec1e81f52511918a2f14ac0ef020a850b745230de9ef74485d505133af963525,256,256,False
tomato_Early blight,0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432_final_masked.jpg,38a31020c6a885810909e771c563027b633744dfc68a560f082b7a73778b9251,256,256,False
tomato_Early blight,004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253.JPG,C:\Greenscan project\dataset\tomato_Early blight\004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253.JPG,896801c0cfcd0335be005844f254ff7f8c3a9c432398444f4539681f6e90603e,256,256,False
tomato_Early blight,004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253_final_masked.jpg,4ef3a94505c1d0e2fe66b57ff8e01dd5f6ed95ed3ed3d283e6d7df3c30c54029,256,256,False
tomato_Early blight,00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.JPG,C:\Greenscan project\dataset\tomato_Early blight\00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.JPG,eb1520f70fb4f623a71e65b1431ed20a9123d1e406f49e8d372526f483e2f903,256,256,False
tomato_Early blight,00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778_final_masked.jpg,6c76a9958f42eba222438c6bd1cb37b3baff82d8976cc97061467ef9a97398fd,256,256,False
tomato_Early blight,00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844.JPG,C:\Greenscan project\dataset\tomato_Early blight\00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844.JPG,de01c3817dcbf1321a99d2dffea48698b9c776bccaef6ff8f23efad001da8aec,256,256,False
tomato_Early blight,00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844_final_masked.jpg,C:\Greenscan project\dataset\tomato_Early blight\00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844_final_masked.jpg,7e7df5594571c0ae8bda4cc08cd0978b37658433ebbbbee139b983512148e823,256,256,False
