accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.6989966630935669,0.6352928280830383,0.7845953106880188,0.48239877820014954,0.0010000000474974513,1
0.785953164100647,0.4250488579273224,0.8328981995582581,0.4166305959224701,0.0010000000474974513,2
0.8258082270622253,0.36742979288101196,0.8694517016410828,0.3363851010799408,0.0010000000474974513,3
0.832497239112854,0.350627064704895,0.8733681440353394,0.32380378246307373,0.0010000000474974513,4
0.8442028760910034,0.33304786682128906,0.8093994855880737,0.4109109938144684,0.0010000000474974513,5
0.8522853851318359,0.3141052722930908,0.8603132963180542,0.3389846682548523,0.0010000000474974513,6
0.8475473523139954,0.29241374135017395,0.8877284526824951,0.29068052768707275,0.0010000000474974513,7
0.8662207126617432,0.28214046359062195,0.8994777798652649,0.2928394675254822,0.0010000000474974513,8
0.8790412545204163,0.2798020839691162,0.857702374458313,0.33655184507369995,0.0010000000474974513,9
0.8612040281295776,0.2903536856174469,0.8994777798652649,0.25561827421188354,0.0010000000474974513,10
0.8687291145324707,0.2801651358604431,0.8864229917526245,0.30226337909698486,0.0010000000474974513,11
0.8729097247123718,0.2659240961074829,0.8903394341468811,0.2794589698314667,0.0010000000474974513,12
0.870680034160614,0.26280495524406433,0.8877284526824951,0.2863819897174835,0.0010000000474974513,13
0.8812708854675293,0.24824479222297668,0.87467360496521,0.29090186953544617,0.00020000000949949026,14
0.8862876296043396,0.2402832955121994,0.8812010288238525,0.2984863817691803,0.00020000000949949026,15
