Threshold,Disease,Affected Region %_mean,Affected Region %_std,Weighted Activation_mean,Health Score_mean
0.4,tomato_Early blight,61.126333333333335,15.219280757697101,0.47035666666666665,37.733333333333334
0.4,tomato_Late blight,38.99766666666667,15.614538248460752,0.3339433333333333,53.4
0.4,tomato_healthy,58.394999999999996,23.386612107401724,0.46879333333333334,97.63333333333334
0.5,tomato_Early blight,47.242,15.144968300646465,0.47035666666666665,43.766666666666666
0.5,tomato_Late blight,30.678,14.152479592661129,0.3339433333333333,55.93333333333333
0.5,tomato_healthy,46.467999999999996,23.614148213773646,0.46879333333333334,97.63333333333334
0.6,tomato_Early blight,33.928000000000004,12.730936905144045,0.47035666666666665,49.46666666666667
0.6,tomato_Late blight,22.669666666666668,12.068702322417538,0.3339433333333333,58.36666666666667
0.6,tomato_healthy,35.56466666666667,22.282864876995436,0.46879333333333334,97.63333333333334
0.7,tomato_Early blight,21.631333333333334,10.143173254862647,0.47035666666666665,54.43333333333333
0.7,tomato_Late blight,15.591000000000001,9.637717339559268,0.3339433333333333,60.3
0.7,tomato_healthy,24.901,17.34518821281369,0.46879333333333334,97.63333333333334
0.8,tomato_Early blight,11.877,7.523835755966407,0.47035666666666665,58.06666666666667
0.8,tomato_Late blight,8.892,6.183506091709371,0.3339433333333333,62.1
0.8,tomato_healthy,12.894666666666668,8.961983206216454,0.46879333333333334,97.63333333333334
